,Unnamed: 0,Link,content,News_date,First_Line,annotations
0,0,https://timesofindia.indiatimes.com/city/allahabad/3-killed-in-car-accident-on-purvanchal-expressway-in-sultanpur/articleshow/107938160.cms,"SULTANPUR : Three people lost their lives on Friday in a car accident on the Purvanchal Expressway , according to the police. The car, carrying occupants who were traveling from Haryana's Ballabgarh to Arrah in Bihar for a wedding ceremony, collided with a divider near Seur on the expressway. Station house officer Amit Kumar Mishra of the local Kurebhar police station reported that three individuals died on the spot, while another person sustained severe injuries. The deceased have been identified as Chinta Devi (51), Ram Chandra Gupta (55), and Maya Devi (52), who was Gupta's wife. Vikas (30), Gupta's son, was taken to a government medical college with serious injuries. The police attribute the accident to rash driving. Explore Your Financial Landscape with Personalized Credit Insights.","Updated: Feb 23, 2024, 13:51 IST","Three people lost their lives on Friday in a car accident on the Purvanchal Expressway , according to the police","['Three people lost their lives on Friday in a car accident on the Purvanchal Expressway , according to the police', {'entities': [(0, 5, 'FATALITIES'), (45, 48, 'VEHICLE TYPE')]}]"
1,1,https://timesofindia.indiatimes.com/city/jaipur/3-killed-after-car-crashes-into-truck-on-amritsar-jamnagar-nh/articleshow/107821301.cms,"JAIPUR: Three people died in a car accident in Rajasthan 's Anupgarh district on Monday. The car crashed into a truck on the Bharatmala Amritsar-Jamnagar National Highway. The truck suddenly applied brakes near Nai Mandi of Gharsana. The victims were on their way to a wedding ceremony. The incident took place late Sunday night. Sub-inspector Ram Singh Meena, stationed at Gharsana police station, reported that the car collided with a truck ahead of it when the truck abruptly applied brakes, resulting in the tragic death of three passengers. The deceased were identified as Ravinder Kumar, Subhash Kumar, and Ajay Kumar. The bodies were handed over to family members after post-mortem, he added. (With inputs from PTI) Explore Your Financial Landscape with Personalized Credit Insights.","Updated: Feb 19, 2024, 15:48 IST",Three people died in a car accident in Rajasthan 's Anupgarh district on Monday,"[""Three people died in a car accident in Rajasthan 's Anupgarh district on Monday"", {'entities': [(0, 5, 'FATALITIES')]}]"
2,2,https://timesofindia.indiatimes.com/city/bengaluru/2-killed-in-car-bus-collision-in-karnatakas-raichur/articleshow/107790964.cms,RAICHUR: Two women killed and five others were seriously hurt in a car-bus collision in Raichur on Sunday morning. The accident occurred near Seventh Mile Cross. The injured victims were taken to Raichur Institute of Medical Science (RIMS) Hospital and a private hospital. The police have registered a case and are currently investigating the incident. (With inputs from PTI) Explore Your Financial Landscape with Personalized Credit Insights.,"Updated: Feb 18, 2024, 11:34 IST",Two women killed and five others were seriously hurt in a car-bus collision in Raichur on Sunday morning,"['Two women killed and five others were seriously hurt in a car-bus collision in Raichur on Sunday morning', {'entities': [(0, 3, 'FATALITIES'), (21, 25, 'INJURED'), (58, 65, 'VEHICLE TYPE'), (66, 75, 'REASON'), (97, 104, 'TIME')]}]"
3,3,https://timesofindia.indiatimes.com/city/delhi/two-students-injured-after-car-hits-them-on-footpath-in-central-delhi/articleshow/107737101.cms,"New Delhi: Two students were injured after a speeding car rammed into the footpath they were walking on in central Delhi’s Ranjit Nagar. The errant driver has been booked, police said. The accident took place in the early hours of Tuesday and the students, in their early 20s, were discharged after treatment, a police officer said. “The driver who received some injuries was also rushed to the hospital. A case under sections 279 (rash driving), 337 (hurt due to negligence) and 338 (Punishment for grievous hurt) has been registered,” said the officer. The driver has been identified and the offending vehicle has been seized, police said. The purported CCTV footage of the incident started making rounds on social media on Thursday. In the video, a man and a woman can be seen walking on the footpath when a speeding car banged into the duo walking on the footpath. Explore Your Financial Landscape with Personalized Credit Insights."," Feb 16, 2024, 08:12 IST",Two students were injured after a speeding car rammed into the footpath they were walking on in central Delhi’s Ranjit Nagar,"['Two students were injured after a speeding car rammed into the footpath they were walking on in central Delhi’s Ranjit Nagar', {'entities': [(0, 3, 'INJURED'), (34, 42, 'REASON')]}]"
4,4,https://timesofindia.indiatimes.com/city/hyderabad/newlywed-techie-father-in-law-driver-die-in-car-accident-wife-battling-for-life/articleshow/107897709.cms,"Hyderabad: A newlywed software engineer , his father-in-law and driver of the car were killed while his wife, also a techie, was severely injured after vehicle veered off the road and crashed into a tree on the Hyderabad-Bengaluru National Highway in Mahbubnagar in the wee hours of Wednesday. The couple had married on Feb 15. Pavan Sai (27), his wife Namburi Anusha (26), his father-in-law Namburi Venkataramana (57), a sub-inspector at N Racharla PS in Nandyal district in Andhra Pradesh were on their way to Anusha’s home in Anantapur district in AP when the accident happened around 3.30 am after they had crossed Bhoothpur crossroads near Annasagar village. Cops suspect that the driver, Chandra (26), may have dozed off. Anusha, who is in a critical condition, is battling for life, cops said. Venkataramana was sitting beside the driver while Pavan and Anusha were in the rear seat. The family was going to Anantapur in a convoy of three cars. The relatives following them in the other two cars alerted the cops. The couple and their families had come to Pavan’s residence at Manikonda in Hyderabad for the wedding reception. They had also purchased a flat in the city. After the reception and the housewarming ceremony, they had started for Anantapur, Mahabubnagar DSP P Venkateshwarlu said. “The impact of the crash was so severe that the engine was detached and landed around 10 metres away from the car,” the DSP said. An accidental death case under IPC section 304A has been registered, cops said. Explore Your Financial Landscape with Personalized Credit Insights."," Feb 22, 2024, 08:22 IST","A newlywed software engineer , his father-in-law and driver of the car were killed while his wife, also a techie, was severely injured after vehicle veered off the road and crashed into a tree on the Hyderabad-Bengaluru National Highway in Mahbubnagar in the wee hours of Wednesday","['A newlywed software engineer , his father-in-law and driver of the car were killed while his wife, also a techie, was severely injured after vehicle veered off the road and crashed into a tree on the Hyderabad-Bengaluru National Highway in Mahbubnagar in the wee hours of Wednesday', {'entities': [(35, 48, 'GENDER'), (149, 155, 'REASON'), (259, 262, 'TIME')]}]"
5,7,https://timesofindia.indiatimes.com/city/lucknow/yamuna-expressway-accident-five-dead-after-bus-collides-with-car-in-mathura/articleshow/107619624.cms,"MATHURA: Five people have lost their lives in a road accident on the Yamuna Expressway in Mathura , as confirmed by the police on Monday. The incident occurred near Village Kishanpur, at Mile Stone 110, under the jurisdiction of the Mahavan police station. According to Senior Superintendent of Police (SSP), Shailesh Pandey, ""Five people have died in the road accident that took place on the Yamuna Expressway. The incident took place when a bus enroute to Noida from Agra hit a divider, lost control and collided with a car."" Both vehicles caught fire after the collision, leading to a devastating outcome. While the passengers on the bus managed to escape, those in the car were tragically burned beyond recognition. Eyewitnesses reported that the fire brigade did not arrive at the scene until half an hour after the incident. Fire officials eventually reached the spot and are currently working to extinguish the blaze. The police are conducting an investigation into the matter, and further details are awaited. This is not the first time such an accident has occurred on the Yamuna Expressway. Just last month, a collision between two buses at Mile Stone 110 Raya Cut in Mathura resulted in at least 40 people sustaining injuries. The Yamuna Expressway, stretching 165.5 km and featuring six lanes, is the sixth longest expressway in the country. It connects Greater Noida with Agra, serving as a vital transportation route in Uttar Pradesh. Explore Your Financial Landscape with Personalized Credit Insights.","Updated: Feb 12, 2024, 12:30 IST","Five people have lost their lives in a road accident on the Yamuna Expressway in Mathura , as confirmed by the police on Monday","['Five people have lost their lives in a road accident on the Yamuna Expressway in Mathura , as confirmed by the police on Monday', {'entities': [(0, 4, 'FATALITIES')]}]"
6,8,https://timesofindia.indiatimes.com/city/gurgaon/woman-30-dies-after-car-rams-into-another/articleshow/107806086.cms,"Gurgaon: A woman died and her husband suffered injuries after a car rammed into theirs at the Sector 27 underpass during early hours of Saturday. The accused, an undergraduate student, was drunk at the time of the crash, police said, adding that he was taken into custody. According to police, Disha (32) and her husband Rahul Yadav — a private company employee and a resident of Delhi’s Vasant Kunj — were driving from Gurgaon to their home via Bristol Chowk in their Polo. As they reached the underpass, a Skoda car coming from behind first brushed past another car and then hit the Polo that Yadav was driving. The impact of the crash was such that the victim’s car got damaged both from the front and rear. “Around 2.30am on Saturday, while we were passing through Rapid Metro underpass, a car came from behind at high speed, hit another car to my right and rammed into our vehicle. My wife Disha, suffered severe injuries,” Rahul said in his complaint. He said the passersby immediately called police and ambulance. The driver of Skoda, Avnish, a BBA student from Panipat, also stopped at the site. “Avnish (20) confessed that he was under the influence of alcohol. His blood sample has been taken for the test. We took the husband-wife duo to a hospital, where Disha was declared dead. Rahul suffered several injuries and is out of danger,” Sunil Kumar, inspector, DLF-1 police station, said. Police said the person who was hit before Yadav did not suffer injuries, neither did Avnish. However, all three of the cars are damaged. Based on a complaint by Rahul, an FIR has been registered against Avnish under IPC sections 279 (rash driving on a public way), 337 (causing injuries due to rash or negligent act), and 304A (causing death due to rash or negligent act) . Explore Your Financial Landscape with Personalized Credit Insights."," Feb 19, 2024, 08:14 IST",A woman died and her husband suffered injuries after a car rammed into theirs at the Sector 27 underpass during early hours of Saturday,"['A woman died and her husband suffered injuries after a car rammed into theirs at the Sector 27 underpass during early hours of Saturday', {'entities': [(2, 7, 'GENDER'), (55, 58, 'VEHICLE TYPE'), (112, 117, 'TIME')]}]"
7,9,https://timesofindia.indiatimes.com/city/trichy/boy-killed-in-road-accident/articleshow/107443549.cms,"Trichy : A 15-year-old boy was killed after he was hit by an unidentified car at Rayampuram in the district on Monday evening. Police said K Vasan, a Class X student of Rayampuram village, and his neighbour M Manikandan, 16, were walking towards a shop in the village on Monday evening. At that time, a sports utility vehicle (SUV) rammed the boys and fled the scene. Vasan succumbed to injuries on the spot while Manikandan was rushed to Ariyalur Government Medical College Hospital with grievous injuries. Meanwhile, villagers including relatives of Vasan blocked the Sendurai-Ariyalur state highway with the victim’s body. On information, revenue and police officials rushed to the spot and held talks. After they assured to investigate and book the perpetrator involved, the protest was withdrawn. Explore Your Financial Landscape with Personalized Credit Insights."," Feb 6, 2024, 08:44 IST",A 15-year-old boy was killed after he was hit by an unidentified car at Rayampuram in the district on Monday evening,"['A 15-year-old boy was killed after he was hit by an unidentified car at Rayampuram in the district on Monday evening', {'entities': [(2, 13, 'AGE'), (109, 116, 'TIME')]}]"
8,10,https://timesofindia.indiatimes.com/city/delhi/man-dies-at-shelter-unidentified-accident-victim-found-dead-at-rain-basera-in-delhi/articleshow/107737116.cms,"New Delhi: An unidentified man who was injured in an accident nearly five days ago has died under mysterious circumstances at a rain basera (night shelter ) in south-east Delhi. The incident took place after the victim declined to visit the police station and sought medical treatment on his own, police said on Thursday. Police received information about the incident on Wednesday. “The caretaker of a rain basera at Ring Road, Sarai Kale Khan said that an unknown person, who was residing in the shelter home for the last two months, was found unconscious. Police and ambulance rushed the victim to a hospital where he was declared dead and his body was shifted to the mortuary,” said a senior police officer. The caretaker had claimed that the man met with an accident about five days back, but they hadn’t reported to the police and got medical care without informing anyone, said the officer, adding, “The deceased was a homeless person and his body has been sent for post-mortem examination while efforts are being made to trace his family members”. Explore Your Financial Landscape with Personalized Credit Insights."," Feb 16, 2024, 08:12 IST",An unidentified man who was injured in an accident nearly five days ago has died under mysterious circumstances at a rain basera (night shelter ) in south-east Delhi,"['An unidentified man who was injured in an accident nearly five days ago has died under mysterious circumstances at a rain basera (night shelter ) in south-east Delhi', {'entities': [(16, 19, 'GENDER')]}]"
9,11,https://timesofindia.indiatimes.com/city/gurgaon/3-killed-in-accident-in-haryanas-hisar/articleshow/107554146.cms,"HISAR: Three men were killed and three others were injured in a car accident near a village in Hisar, according to the police. The passengers were returning to Hisar after attending a wedding ceremony in Bhiwani district on Thursday night when the driver lost control of the vehicle and crashed into a tree. The accident occurred in Harikot village. All of the individuals involved in the accident were employees of Haryana power utility, Dakshin Haryana Bijli Vitran Nigam (DHBVN). The deceased have been identified as junior engineer Bhuvnesh Sangwan from Rewari, Mandeep Kundu from Hisar, and Rajesh from Fatehabad. The injured individuals have been admitted to a hospital in Hisar. Explore Your Financial Landscape with Personalized Credit Insights.","Updated: Feb 9, 2024, 15:24 IST","Three men were killed and three others were injured in a car accident near a village in Hisar, according to the police","['Three men were killed and three others were injured in a car accident near a village in Hisar, according to the police', {'entities': [(0, 5, 'FATALITIES'), (26, 31, 'INJURED')]}]"
